ListOffice,ListOfficeVolume,ListOfficeRank
36d5 Realty,3,Low
A.R. Bilodeau Inc.,1,Low
ABBOTT PROPERTIES,19,Medium
"Access Realty, Inc.",3,Low
Acumen Group,30,High
Adams & Adams Real Estate,1,Low
Adams Realty,2,Low
Adaptive Real Estate,1,Low
Agnelli Real Estate,3,Low
AJ Realty,2,Low
Albert REALTORS,142,High
All Inclusive Realty,1,Low
Alliance Real Estate Group LLC,8,Low
"Alliance Realty NE, LLC",2,Low
Alltown Real Estate Group,43,High
Almost Home,7,Low
"Amaral & Associaties RE, Inc.",2,Low
AMERICAN DREAM REALTY,12,Medium
American Homes & Commercial RE,18,Medium
Anchor Properties,11,Low
"Anchor Real Estate Group, LLC",4,Low
ANN O'BRIEN REALTY,1,Low
Anytime Realty,34,High
Archive Realty,1,Low
Armory Properties,29,High
"Aspen Realty Group, LLC",4,Low
Asset Realty Group,5,Low
Atlantic Properties LLC,6,Low
"Atlantic Properties, LLC",14,Medium
Aubin Realty,1,Low
Auburn Insurance & Realty Co.,3,Low
Badger Realty,11,Low
Balletto Realty,4,Low
Bani Properties,8,Low
Baron & Clemente Real Estate,22,High
Barros Real Estate Services,4,Low
Bay Market Real Estate,1,Low
Bay View Realty Company,4,Low
Beaches & Backroads Realty,1,Low
"Benchmark Properties, LLC",7,Low
BenMar Realty,15,Medium
Beretta Realty Company,42,High
Berkshire Hathaway Home Servic,1,Low
Berkshire Hathaway Home Svcs,2,Low
Berkshire Hathaway HomeService,12,Medium
BerkshireHathaway HomeServices,3,Low
Bessette Realty,5,Low
"Best Rate Realty, LLC",2,Low
"Better Living Real Estate, Llc",17,Medium
BHHS Gammons Realty,56,High
BHHS Mel Antonio Real Estate,1,Low
BHHS New England Properties,7,Low
BHHS Pinnacle Realty,8,Low
"BisMarc Properties, LLC",25,High
Blackstone/Ocean Properties,15,Medium
Blu Sky Real Estate,61,High
Bolt Real Estate,7,Low
Bond Street Real Estate,1,Low
Boston Metropolitan Realty,1,Low
Bostonia Properties,8,Low
Boucher Real Estate,75,High
"Boulevard Realty, Inc.",7,Low
Broadway Real Estate Group,89,High
Broker Assisted Sale,4,Low
"Browning & Browning R.E., Llc",4,Low
"Bruce Allen, REALTORS",51,High
By Re-Quest! Realty,7,Low
C-21 Butterman & Kryston,87,High
"C & L Agency, Inc.",1,Low
"C.D. Puleo Realty, Inc.",22,High
Caetano Real Estate,3,Low
CALDWELL REALTY LLC,5,Low
"Cantave Realty Group, Inc.",4,Low
Carma Real Estate Community,20,High
"Carol Muccino Realty, Llc",1,Low
"Carrington RE Services, LLC",41,High
Cathedral Properties,19,Medium
Ceceri Associates,3,Low
Center Place Realty & Investm.,24,High
CENTURY 21  ACCESS AMERICA,53,High
Century 21 Access America,19,Medium
Century 21 Commonwealth,6,Low
CENTURY 21 David Smith RE,8,Low
Century 21 Ed Pariseau Realtor,6,Low
CENTURY 21 Gonsalves - Pastore,126,High
"Century 21 Pariseau R.E., Inc.",5,Low
Century 21 Realty Associates,45,High
CENTURY 21 Stachurski Agency,173,High
Century 21 Topsail Realty,29,High
Century 21 Trend Realty,3,Low
Circle 100 Real Estate,4,Low
Cityside Properties,14,Medium
Classic Properties Realtors,1,Low
Clearmark Real Estate,14,Medium
Coastal Properties Group,7,Low
COLDWELL BANKER CAHOONE RLTRS.,2,Low
Coldwell Banker Coastal Homes,1,Low
Coldwell Banker Guimond Rlty,3,Low
Coldwell Banker Res. Brokerage,700,High
COLDWELL BANKER RESIDENTIAL BR,89,High
Coleman Realtors,1,Low
"Coleman REALTORS, Inc.",67,High
"COLEMAN, REALTORS",14,Medium
Compass Real Estate,7,Low
Compass Rose Realty RI,2,Low
Connect Realty.com,92,High
CONNECTICUT MLS,1,Low
"Continental Re Group, Inc.",12,Medium
Cooperative Real Estate Prfnls,5,Low
Core Properties,4,Low
Corinthian Real Estate,2,Low
"Costello Realty, Inc.",2,Low
Covington Properties,1,Low
CrossRoads Real Estate Group,235,High
Custodio Realtors,52,High
D Palumbo Realty,2,Low
Dandurand Real Estate,32,High
DEFELICE REALTORS,38,High
"Derby Properties, Inc.",34,High
DHD Real Estate Associates,2,Low
Diamond Hill Appraisal,1,Low
Diamond Real Estate Group,5,Low
"DiBiase Associates, Inc.",76,High
"Difilippo Realty, LLC",1,Low
Discount Broker Realty,3,Low
Doorley Real Estate Inc,16,Medium
Doyle Realty,3,Low
Duke Properties,2,Low
Duke Silva Real Estate,8,Low
Durkin Cottage Realty,1,Low
"E Realty, LLC",1,Low
"E. F. Bishop Realty, Inc.",2,Low
East Bay Real Estate,6,Low
"East Side Realty Services, Inc",2,Low
"Edge Realty RI, LLC",7,Low
Elite Real Estate,7,Low
Empire Real Estate Group,12,Medium
"Encompass Real Estate Group, L",4,Low
Equinox Properties,52,High
"Equity Advisory Group, LLC",1,Low
Era Key Realty Services,20,High
Esquire Property,1,Low
"Even Keel Realty, Inc.",2,Low
Executive Realty,8,Low
EXIT Harborside Realty,14,Medium
EXIT Premier Realty,111,High
EXIT Realty Consultants,3,Low
EXIT Realty Firm,107,High
EXIT Realty Pinnacle,208,High
Exit Realty Pinnacle - MA,12,Medium
Exit Realty Professionals,1,Low
EXIT Realty The New Generation,21,High
Exit Top Choice Realty,1,Low
eXp Realty,6,Low
"eXp Realty, LLC",4,Low
EXPERIENCE Real Estate,17,Medium
Faraone Realty & Appraisal,1,Low
Fenix Real Estate,17,Medium
Fiddler Real Estate,2,Low
"Fieldstone Properties, Inc.",2,Low
Finest Real Estate,14,Medium
Fiore Realty Corp.,1,Low
"Fontaine Real Estate, Inc.",32,High
Frank Simonelli Properties,3,Low
"Full Circle Realty, LLC",1,Low
Future Properties,7,Low
Gallagher Real Estate Corp.,1,Low
Garden City Realty,13,Medium
Gateway Realty,6,Low
"Geo Properties, Inc.",5,Low
Gower And Co.,27,High
GPS Realty,1,Low
Great Move Realty,22,High
Greco Real Estate,17,Medium
"Green Island Realty, Inc.",11,Low
Green Leaf Realty,26,High
Greystone Realty,6,Low
Gustave White Sotheby's Realty,7,Low
"Hall Realty Group, LLC",36,High
Hanaway Real Estate,15,Medium
Hannon Realty Group,1,Low
Harborside Realty,19,Medium
"Hemekedeal Realty, LLC",7,Low
Henry W. Cooke Company,5,Low
"Hewitt, Newton Associates",1,Low
High Pointe Properties,6,Low
Hill Harbor Group LLC,17,Medium
Hogan Associates,10,Low
"Home Island Realty, LLC",80,High
HomeSmart Professionals RE,378,High
Homestead Realty,1,Low
"Homistic Real Estate, Inc.",49,High
Hope Real Estate,15,Medium
"Horizon Realty, LLC",1,Low
Host of Homes REALTORS,2,Low
"Hunting House Associates, Inc.",4,Low
Independent Brks Realty Of RI,24,High
International Real Estate,11,Low
