ListAgent,ListSideNumber,ListAgentRank
A & D Realty Alliance,1,Low
A.J. Costa,2,Low
AAH Around the House Team,6,Low
Aaron Broccoli,3,Low
Aaron Niedzwiadek,3,Low
Abby Ashley,3,Low
Adam Cardinal,13,Medium
Adam Wilks,4,Low
Addy Sirypannho,7,Low
Adrienne FriedmanKirschner,7,Low
Agueda Del Borgo,7,Low
AL B Berarducci,3,Low
AL IACOBBO,2,Low
Al North Jr,5,Low
Al Pratte,6,Low
Alacyn Wolfe,1,Low
Alaina Bruno,4,Low
Alan Brunelle,1,Low
Alan Cameron,1,Low
Alan Gandelman,3,Low
Alayna Berek,2,Low
Albin Johnson III,1,Low
Aleen Weiss,23,High
Alessandra Alvarez,1,Low
Alex Mazika,1,Low
Alexander Almeida,1,Low
Alexander Champagne,2,Low
Alexander Parmenidez,2,Low
Alexandria Escaler,16,Medium
Alfredo Dacosta,1,Low
Alfredo DaCosta,9,Low
Alicia Parrillo,1,Low
Aliesha Noonan,7,Low
Aliesha Noonan & Associates,21,High
Alisha TAFURI,6,Low
Alison Kowal,1,Low
Alissa St. Jacques,5,Low
Allen Gammons,8,Low
ALLIANCE MEMBER,1,Low
Allison Bernard,3,Low
Allison Thienel,6,Low
Alvin Owens Jr,1,Low
Alyson Roslonek,12,Medium
Amanda Hannon,16,Medium
Amanda Mahon,1,Low
Amber Cadorette,1,Low
Amelia Partridge,8,Low
Amit Anand,52,High
Amy Bedard,11,Low
Amy Champagne,4,Low
Amy Dixon,31,High
AMY Doorley,3,Low
Amy Plante,3,Low
Ana Luis Bruno,3,Low
Ana Willis,2,Low
Anabela O'Shea,1,Low
Anabella Mendez,2,Low
Anastasia Kaufman,25,High
Anderson Real Estate Group,29,High
Andrea Cambio,1,Low
Andrea Henault,1,Low
Andrea Massey,16,Medium
Andrea Robertson,13,Medium
Andrew Bilodeau,1,Low
Andrew Ferland,12,Medium
Andrew Iovino,5,Low
Andrew Kushner,2,Low
Andy Goulet,17,Medium
Angela Sharkey,1,Low
Angelique Zubee,1,Low
Angelo Blandon,1,Low
Angelo Greco,3,Low
Anibal Recinos Rosales,4,Low
Ann Brouillette,2,Low
Ann Carroccia,1,Low
Ann Damiano,3,Low
Ann Foncellino,13,Medium
Ann Glosson,1,Low
Ann Hall,10,Low
Ann Marie Clarkson,1,Low
Ann Marie Grilli,2,Low
Ann Marie Kirwin,2,Low
Ann McCrory,1,Low
Ann Shackford,3,Low
Anna Clancy,1,Low
Anna Hsiao,1,Low
Anne Giardina,1,Low
Anne Marsh,11,Low
Anne McCrann,1,Low
Anthony Barbieri,8,Low
Anthony Caprio,20,High
Anthony DelVecchio,1,Low
Anthony Golomboski,6,Low
Anthony Greco,2,Low
Anthony Mattera,23,High
Anthony Santangelo,9,Low
Anthony Saviano,8,Low
Anthony Simonelli,1,Low
Anthony Vecchiarelli,7,Low
Anthony Young,1,Low
Antrop & Williamson,60,High
Anytime Team,7,Low
Aref Shehadeh,2,Low
Ari Tanasio,25,High
Arleen Richman,1,Low
Arlene Laboissonniere,2,Low
Arlene Scott,1,Low
Armando Ugarte Castelar,3,Low
Armistead Covington,1,Low
Arnold Baskin,4,Low
Art Samos,6,Low
Arthur Fluette,12,Medium
Arthur Lima,1,Low
Arthur Yatsko,2,Low
Ashley Almeida,1,Low
Ashley Baccari,1,Low
Asimina Rodopoulos,11,Low
Assisted Sale,4,Low
Astrid DiSano,1,Low
Barbara Arditte,1,Low
Barbara Dacey,37,High
Barbara Fell,1,Low
Barbara Gaglione,1,Low
Barbara Jean Taylor,1,Low
Barbara Jolicoeur,5,Low
Barbara Morris,1,Low
Barbara Rhine,9,Low
Barbara Santilli,3,Low
Barbara Scanlon,31,High
Barbara Stamp,6,Low
Barbara Vieira,1,Low
Baron von Heyden,1,Low
Barry Alofsin,1,Low
Barry Gross,11,Low
Barry Rafanelli,5,Low
Barry Sullivan,2,Low
Basty Ortiz,4,Low
Beatriz Giron,22,High
Beatriz Tudela,1,Low
Becky St. Louis,1,Low
Belle Virgilio,1,Low
Ben Esposito,2,Low
Ben Faubert,1,Low
Ben Gourneau,2,Low
Benjamin Duff,1,Low
Benjamin Frink,2,Low
Benjamin Ricci,1,Low
Benjamin Scungio,8,Low
Bernadette Reyes-Forbes,3,Low
Bernard Salcedo,1,Low
Bernice Salzberg,35,High
Bernie Larivee,14,Medium
Beth Brucker,11,Low
Beth Davis,4,Low
Beth Jenkins,1,Low
Beth Mazor,3,Low
Beth Suriani,1,Low
Bethany Eddy,6,Low
Bethany Martone,3,Low
Bethany Nelson,1,Low
Betsey DaSilva,5,Low
Bette-Anne Corrente,10,Low
Bettina Monaco,3,Low
Bev Marchione,4,Low
Beverly Burgess,6,Low
Beverly Chittim,1,Low
Beverly Cournoyer,2,Low
Beverly Littlejohn,2,Low
Beverly Medeiros,2,Low
Beverly Snyder,1,Low
Beverly Wootton,6,Low
Bill Bell,1,Low
Bill Duquette,10,Low
BILL Freeman,1,Low
Bill Friedman,26,High
Bill Hurston,1,Low
Bill Kiriaki,1,Low
Bill Serio,1,Low
Bill Thompson,1,Low
Bob Candon,1,Low
Bob Caron,1,Low
Bob Countie,8,Low
Bob D. D'Andrea,4,Low
Bob DeCosta,4,Low
Bob DeGregorio,14,Medium
Bob Gunning,1,Low
Bob Keith,4,Low
Bob Mahoney,7,Low
Bob Martin,16,Medium
Bob Milkaitis,1,Low
Bob Roy,9,Low
Bob Sparn Sparn Team,2,Low
Bob Vincent,1,Low
Bonnie Begos,1,Low
Bonnie Carter,8,Low
Bonnie Kaplan,9,Low
Bonnie Large,1,Low
Braulio Diaz,5,Low
Brenda Acciardo,4,Low
Brenda Dassoni,1,Low
Brenda Fernandes,2,Low
Brenda Hilton,3,Low
Brenda HOLMES,1,Low
Brenda L. Marchwicki,18,Medium
Brenda Marchwicki,2,Low
Brenda Nardolillo,5,Low
Brenda Nile,3,Low
Brenda Rebello-Reyes,4,Low
Brendan Duckworth,20,High
Brendan McLaughlin,2,Low
Brenton Butterworth,1,Low
Brian Bursell,18,Medium
Brian Carpenter,60,High
Brian Demers,4,Low
Brian Doorley,1,Low
Brian Dupont,18,Medium
Brian Fiore,1,Low
Brian Iafrate,1,Low
Brian Janes,1,Low
Brian Johnson,1,Low
Brian Marvelle,45,High
Brian McDonald,1,Low
Brian McGloin,3,Low
Brian Rector,2,Low
Brian White,1,Low
Bridgette Soby,1,Low
Brooke Caron,2,Low
Brooke Depot,1,Low
Bruce Burlingame,3,Low
Bruce Haslehurst,1,Low
Bruce Lane,31,High
Bruce Nathaniel,1,Low
Bryan McKeen,1,Low
Bud Latham,2,Low
Butch Simoneau,7,Low
C21 Realty Group,3,Low
Caitlin Clement,3,Low
Caitlin Richard,1,Low
Carl Feldman,6,Low
Carl Passarelli,6,Low
Carla Menard,6,Low
Carla Polanco,3,Low
Carla Zimmerman,10,Low
Carlos Almeida,6,Low
Carlos Mendes,4,Low
Carlos Ocampo,2,Low
Carol Battersby,2,Low
Carol Cooney,10,Low
