SellOffice,SellOfficeVolume,SellOfficeRank
1 Oak Real Estate Group,3,Low
36d5 Realty,13,Medium
401 Realty,1,Low
ABBOTT PROPERTIES,20,High
"Access Realty, Inc.",2,Low
Acumen Group,27,High
Adams & Adams Real Estate,1,Low
Adams Realty,1,Low
Adaptive Real Estate,3,Low
Adept Realty Group,3,Low
"Adventure Realty, Inc.",1,Low
AIO Real Estate,1,Low
Albert REALTORS,116,High
All Inclusive Realty,3,Low
Alliance Real Estate Group LLC,9,Low
"Alliance Realty NE, LLC",2,Low
Alltown Real Estate Group,31,High
Almost Home,12,Medium
"Amaral & Associaties RE, Inc.",2,Low
AMERICAN DREAM REALTY,6,Low
American Homes & Commercial RE,17,Medium
Anchor Properties,10,Low
"Anchor Real Estate Group, LLC",6,Low
"Andolfo Appraisal Assoc., Inc.",1,Low
Andrew Mitchell & Company,1,Low
ANN O'BRIEN REALTY,1,Low
Anytime Realty,129,High
Armory Properties,46,High
Atlantic Properties LLC,2,Low
"Atlantic Properties, LLC",24,High
Atwood Insurance & Realty,1,Low
Aubin Realty,2,Low
Auburn Insurance & Realty Co.,5,Low
Badger Realty,20,High
Balletto Realty,12,Medium
Bani Properties,25,High
Baron & Clemente Real Estate,25,High
Barrister Real Estate Advisors,1,Low
Barros Real Estate Services,1,Low
Bay Market Real Estate,1,Low
"Bay Realty, LTD.",2,Low
Bay View Realty Company,3,Low
Beachfront Properties,1,Low
"Benchmark Associates, Inc.",2,Low
"Benchmark Properties, LLC",3,Low
BenMar Realty,7,Low
Beretta Realty Company,14,Medium
Berkshire Hathaway Home Servic,1,Low
Berkshire Hathaway Home Svcs,2,Low
Berkshire Hathaway HomeService,13,Medium
BerkshireHathaway HomeServices,5,Low
Bessette Realty,11,Low
"Better Living Real Estate, Llc",46,High
BHHS Gammons Realty,53,High
BHHS Mel Antonio Real Estate,3,Low
BHHS New England Properties,4,Low
BHHS Pinnacle Realty,17,Medium
Bill Gilbert Homes,1,Low
"BisMarc Properties, LLC",9,Low
Blackstone/Ocean Properties,21,High
Blu Sky Real Estate,31,High
Bolt Real Estate,2,Low
Boston Metropolitan Realty,1,Low
Bostonia Properties,3,Low
Boucher Real Estate,71,High
"Boulevard Realty, Inc.",9,Low
BriBar Realty,1,Low
Broadway Real Estate Group,82,High
"Bruce Allen, REALTORS",19,Medium
By Re-Quest! Realty,5,Low
C-21 Butterman & Kryston,81,High
"C & L Agency, Inc.",2,Low
"C. Walsh Realty, Inc.",12,Medium
"C.D. Puleo Realty, Inc.",11,Low
"C.R.S. Realty, Llc",1,Low
C21 - Butterman & Kryston,19,Medium
CALDWELL REALTY INC,2,Low
CALDWELL REALTY LLC,7,Low
Carma Real Estate Community,29,High
"Carol Muccino Realty, Llc",2,Low
Carolann Ferrell Silvia,1,Low
Carpionato Properties,1,Low
"Carrington RE Services, LLC",14,Medium
Cathedral Properties,33,High
Ceceri Associates,2,Low
Center Place Realty & Investm.,6,Low
CENTURY 21  ACCESS AMERICA,73,High
Century 21 Access America,11,Low
Century 21 Commonwealth,14,Medium
CENTURY 21 David Smith RE,7,Low
Century 21 David Smith Realty,2,Low
Century 21 Ed Pariseau Realtor,12,Medium
CENTURY 21 Gonsalves - Pastore,124,High
"Century 21 Pariseau R.E., Inc.",7,Low
Century 21 Realty Associates,53,High
CENTURY 21 Stachurski Agency,107,High
Century 21 Topsail Realty,38,High
Century 21 Trend Realty,5,Low
Chapman And Partners,1,Low
Charity Realty International,1,Low
Chatterton Insurance Inc,10,Low
"Churchill & Banks Co., Llc",1,Low
Circle 100 Real Estate,14,Medium
Cityside Properties,12,Medium
Clearmark Real Estate,8,Low
Coastal Properties Group,15,Medium
Coastal Realty,1,Low
"Coastview Realty, Llc",1,Low
Coldwell Banker Coastal Homes,7,Low
Coldwell Banker Guimond Rlty,1,Low
Coldwell Banker Res. Brokerage,744,High
COLDWELL BANKER RESIDENTIAL BR,81,High
"Coleman REALTORS, Inc.",57,High
"COLEMAN, REALTORS",10,Low
Compass Real Estate,4,Low
Compass Rose Realty RI,3,Low
Connect Realty.com,55,High
"Continental Re Group, Inc.",1,Low
Cooperative Real Estate Prfnls,8,Low
Core Properties,9,Low
"Costello Realty, Inc.",3,Low
Covington Properties,1,Low
CrossRoads Real Estate Group,243,High
Custodio Realtors,30,High
D Palumbo Realty,1,Low
Dandurand Real Estate,18,Medium
DEFELICE REALTORS,37,High
"Derby Properties, Inc.",11,Low
"Devfran Realty, Llc",2,Low
DHD Real Estate Associates,6,Low
Diamond Hill Appraisal,2,Low
Diamond Real Estate Group,2,Low
"DiBiase Associates, Inc.",52,High
"Difilippo Realty, LLC",3,Low
Dipietro Real Estate,1,Low
Discount Broker Realty,2,Low
Divine Investments,1,Low
Doorley Real Estate Inc,8,Low
Doyle Realty,1,Low
Duke Silva Real Estate,10,Low
Durkin Cottage Realty,1,Low
"E Realty, LLC",5,Low
"E. F. Bishop Realty, Inc.",3,Low
EagleMax REALTORS,2,Low
East Bay Real Estate,22,High
East Bay Rentals and Mngmt LLC,1,Low
"Edge Realty RI, LLC",10,Low
Elite Real Estate,5,Low
Empire Real Estate Group,18,Medium
"Encompass Real Estate Group, L",5,Low
Envious Properties LLC,1,Low
Equinox Properties,16,Medium
Era Key Realty Services,17,Medium
Esquire Property,3,Low
"Even Keel Realty, Inc.",2,Low
Executive Realty,9,Low
EXIT Harborside Realty,20,High
EXIT Premier Realty,185,High
EXIT Realty Consultants,7,Low
EXIT Realty Firm,98,High
EXIT Realty Pinnacle,264,High
Exit Realty Pinnacle - MA,19,Medium
Exit Realty Professionals,6,Low
EXIT Realty The New Generation,12,Medium
Exit Top Choice Realty,4,Low
eXp Realty,11,Low
"eXp Realty, LLC",1,Low
EXPERIENCE Real Estate,53,High
Fenix Real Estate,22,High
Fiddler Real Estate,1,Low
"Fieldstone Properties, Inc.",2,Low
Finest Real Estate,10,Low
Fiore Realty Corp.,1,Low
First New England Realty Group,3,Low
First Tee Real Estate,1,Low
"Fontaine Real Estate, Inc.",36,High
Frank Simonelli Properties,2,Low
Future Properties,13,Medium
Gallagher Real Estate Corp.,2,Low
Garden City Realty,7,Low
Gateway Realty,7,Low
"Geo Properties, Inc.",7,Low
Gower And Co.,7,Low
GPS Realty,1,Low
Great Move Realty,21,High
"GREATER R.I. PROPERTIES, LLC",1,Low
Greco Real Estate,35,High
"Green Island Realty, Inc.",30,High
Green Leaf Realty,32,High
Greystone Realty,5,Low
Gustave White Sotheby's Realty,9,Low
"Hall Realty Group, Llc",1,Low
"Hall Realty Group, LLC",12,Medium
Hanaway Real Estate,12,Medium
Hannon Realty Group,1,Low
Harborside Realty,13,Medium
Heavens Realty,3,Low
"Hemekedeal Realty, LLC",20,High
"Hewitt, Newton Associates",1,Low
High Pointe Properties,6,Low
Hill Harbor Group LLC,35,High
Hogan Associates,1,Low
Home Buyers Marketing II,1,Low
"Home Island Realty, LLC",70,High
HomeSmart Professionals RE,539,High
Homestead Realty,1,Low
"Homistic Real Estate, Inc.",7,Low
Hope Real Estate,4,Low
Host of Homes REALTORS,15,Medium
"In List Realty, LLC",1,Low
Independent Brks Realty Of RI,33,High
International Real Estate,33,High
Island Realty,2,Low
Jack Conway & Co Inc.,11,Low
JACK W. CLARK REAL ESTATE,3,Low
Jake Realty,2,Low
JDS Realty Group,13,Medium
Jean Realty,1,Low
Jmt Realty,1,Low
Johnston Corporation,1,Low
"Joseph A. Botelho, Jr.",12,Medium
Jubilee Real Estate,5,Low
Juris Realty Llc,1,Low
K.D. Ram Realty,4,Low
"Kate Foster Real Estate, Inc.",6,Low
Kavanaugh Grant Real Estate,3,Low
"Kazantzis Real Estate, LLC",1,Low
Keller Williams Realty,552,High
Keller Williams Realty EastBay,17,Medium
Keller Williams Realty Leading,358,High
Keller Williams Realty NRI,418,High
KELLER WILLIAMS RLTY  NEWPORT,79,High
Kelly Lewis Realty,1,Low
Kensington R.E. Brokerage,1,Low
Key Real Estate Services,2,Low
"Keystone Property Group, LLC",36,High
Keystone Real Estate Group,5,Low
Kirkbrae Properties,2,Low
"Kreg Realty, Llc",1,Low
"Lakefront Living Realty, Llc.",2,Low
"Lamacchia Realty, Inc",5,Low
LaMontagne Real Estate,33,High
Land Realty,3,Low
Legacy Real Estate,3,Low
Lenox Realty Group,52,High
Lettieri & Associates-Realtors,3,Low
Libby Kirwin Real Estate. LTD,3,Low
Lighthouse Real Estate Group,5,Low
Lila Delman RE of Jamestown,1,Low
Lila Delman Real Estate,54,High
Lisa Glowacki,2,Low
Littleton Realty Group,2,Low
Long Realty,21,High
Luxe Residential,3,Low
"M & R Capital Realty, LLC",13,Medium
Madeira Real Estate,7,Low
Marasco Realty Associates,1,Low
Market Properties Group,5,Low
"Market Properties, Inc.",9,Low
Marsha Welch Real Estate,1,Low
Mastermind Realty Corporation,13,Medium
Mateus Realty,144,High
Maxwell Realty,4,Low
"McCaffrey Realty, Inc.",4,Low
MGM Realty Corporation,30,High
MiCasa Real Estate,11,Low
MICHAEL REALTY,2,Low
Miolan & Regus Bros. Realty,13,Medium
Monarch Realty Group,1,Low
Mortgage Appraisal Company,2,Low
Mott & Chace Sotheby's Intl.,83,High
Nathan Clark & Associates,213,High
National Premier Properties,3,Low
"Nest Realty, LLC",10,Low
Network Realty,7,Low
New England Properties,7,Low
New England Realty Group,7,Low
New England Realty Management,11,Low
"New England, Realtor",3,Low
New Key Realty,1,Low
New Market Realty,13,Medium
New World Realty,14,Medium
Next Home Real Estate,39,High
Noel Realty Company,36,High
Non-Mls Member,49,High
NON-MLS Member,208,High
"North Star Realty, LLC",29,High
Northeast Realty Asssociates,14,Medium
"O'Malley-Brady Realty, Inc.",3,Low
Ocean Bay Realty,1,Low
Ocean State Properties,1,Low
"Ocean State RE Services, Inc",1,Low
"Oceanside Properties, LLC",2,Low
"Olde Towne Realtors, Inc.",2,Low
One Stop Real Estate,6,Low
Padric M. Meagher Real Estate,4,Low
Paiva Realty Group,31,High
Paolino Properties,3,Low
"Parrillo Realty Group, LLC",4,Low
"Patriot Realty, Inc.",14,Medium
Paul Vanasse and Associates RE,8,Low
Paul Vanasse And Associates Re,1,Low
Peace of Mind Property Managem,9,Low
Peace of Mind Property Mngmt.,2,Low
Peluso Properties,12,Medium
Penrose Realty,6,Low
Peter H. Hurley Real Estate,1,Low
"Peter M. Scotti & Assoc.,Inc.",20,High
"Peter M. Scotti & Assoc.,Inc. ",1,Low
PHILLIPS POST ROAD REALTY INC.,13,Medium
PHIPPS REALTY,9,Low
PICERNE HOMES,4,Low
"Places & Spaces Realty, LLC",8,Low
Poole Properties,3,Low
"Poole Properties, Inc.",1,Low
Premeer Real Estate,18,Medium
"Premier Homes Realty, LLC",38,High
Premiere Real Estate Group,3,Low
Primary National Res.Brokerage,12,Medium
"Prime Realty, Inc.",42,High
"Prime Time Properties, Inc.",30,High
PRUDENTIAL GAMMONS REALTY,17,Medium
PVD Properties,5,Low
Quality Properties,9,Low
Randall REALTORS,8,Low
Randall Realtors Real Living,20,High
"Randall, REALTORS Real Living",2,Low
RE/MAX 1st Choice,374,High
RE/MAX ADVANTAGE GROUP,65,High
RE/MAX American Dream,59,High
Re/Max Bell Park,7,Low
RE/MAX Best Choice,2,Low
RE/MAX Central,156,High
RE/MAX Cityside,2,Low
RE/MAX ELITE,79,High
RE/MAX Executive Realty,17,Medium
RE/MAX Flagship,5,Low
"RE/MAX FLAGSHIP, INC.",43,High
"Re/Max Landmark, Realtors",5,Low
RE/MAX Metro,25,High
RE/MAX New Horizons,45,High
RE/MAX Preferred,478,High
RE/MAX Premier,49,High
RE/MAX Professionals,327,High
RE/MAX PROFESSIONALS,1,Low
"RE/MAX Profnl. Newport, Inc.",11,Low
RE/MAX Properties,387,High
Re/Max Real Estate Center,16,Medium
RE/MAX Real Estate Center,48,High
Re/Max Right Choice,8,Low
RE/MAX River's Edge,341,High
RE/MAX River's Edge - Bristol,46,High
RE/MAX South County,11,Low
RE/MAX Town & Country,329,High
Re/Max Welcome Home,3,Low
Real Estate Brokerage,1,Low
Real Estate Defined,1,Low
"Real Estate Masters, Inc.",21,High
REAL ESTATE ONE,35,High
Real Estate Options,9,Low
Real Home Service & Solutions,1,Low
Real Living Barbera Associates,4,Low
Real Living Realty Group,8,Low
Realhome Services & Solutions,18,Medium
Realty Center,35,High
Realty Executives Metro South,1,Low
Realty Executives RI,1,Low
"Realty Executives, Tri County",9,Low
"Realty Plus, Inc.",28,High
Realty Quest Group Inc,6,Low
Red Key Realty,2,Low
"Red Real Estate, Inc.",2,Low
Redfin Corporation,24,High
Reliable Realty Group LLC,78,High
REMAX On The Move,39,High
"Renee Realty, LLC",5,Low
RentProv Realty,16,Medium
Rescom Real Estate,14,Medium
Residential Properties Ltd.,218,High
Residential Properties LTD.,76,High
RESIDENTIAL PROPERTIES LTD.,9,Low
"Residential Properties, Ltd.",626,High
"Residential Properties, Ltd.  ",4,Low
"Resource Services, LLC",1,Low
Rhode Island Residential,28,High
"RI 4 Sale, LLC",2,Low
RI Real Estate Services,174,High
"RICHMOND & NICHOLS, INC.",1,Low
"Right Move RI, LLC",5,Low
Ripac Realty,1,Low
ROPAL REALTY,7,Low
Royal Crown Realty,1,Low
Ruest Realty,1,Low
Salisbury Agency,7,Low
Salzberg Real Estate Agency,48,High
"Samson Realty, Ltd.",10,Low
Sand Point Associates,1,Low
Scarlet Realty & Property Mgmt,7,Low
"Scituate Realty, Inc.",9,Low
Sellstate Leading Edge Realty,1,Low
SHAWOMET REALTY COMPANY,13,Medium
"Signature Properties, Inc.",3,Low
Siry Realty,1,Low
SLOCUM REALTY,38,High
South Coast Properties,1,Low
Sovereign Real Estate,2,Low
"Spitz-Weiss, REALTORS",61,High
Stabile Properties,3,Low
"State Properties, Inc.",2,Low
Steele Realty Consultants LLC,37,High
Stonehurst Realty,3,Low
"Stratos Concepts, Llc.",1,Low
"Streamline Realty Group, LLC",5,Low
Strive Realty,23,High
Success!  Real Estate Inc.,21,High
T.F. Jordan Realty LLC,4,Low
Tabernacle Realty,3,Low
Tanasio Realty Advisors,61,High
Tarro Real Estate,1,Low
